iter	Passed	Remaining
0	128	128145
1	129	64392
2	129	43130
3	130	32491
4	131	26148
5	132	21885
6	132	18833
7	133	16541
8	134	14756
9	134	13329
10	135	12177
11	136	11216
12	136	10397
13	137	9691
14	138	9082
15	139	8550
16	139	8077
17	140	7657
18	141	7280
19	141	6941
20	142	6635
21	143	6358
22	143	6102
23	144	5869
24	144	5654
25	145	5454
26	146	5268
27	146	5097
28	147	4937
29	148	4788
30	148	4650
31	149	4521
32	150	4400
33	150	4285
34	151	4176
35	152	4073
36	152	3975
37	153	3882
38	153	3794
39	154	3712
40	155	3636
41	156	3561
42	156	3490
43	157	3420
44	158	3354
45	158	3295
46	159	3238
47	160	3183
48	161	3128
49	161	3073
50	162	3021
51	162	2971
52	163	2923
53	164	2877
54	164	2833
55	165	2791
56	166	2748
57	166	2709
58	167	2673
59	168	2635
60	168	2599
61	169	2564
62	170	2529
63	170	2497
64	171	2464
65	171	2433
66	172	2402
67	173	2373
68	173	2344
69	174	2318
70	175	2291
71	175	2266
72	176	2242
73	177	2218
74	177	2193
75	178	2169
76	179	2148
77	179	2127
78	180	2106
79	181	2085
80	182	2065
81	182	2046
82	183	2023
83	183	2004
84	184	1984
85	185	1966
86	185	1949
87	186	1931
88	187	1914
89	187	1897
90	188	1881
91	188	1865
92	189	1850
93	190	1834
94	191	1821
95	192	1808
96	192	1794
97	193	1780
98	194	1765
99	194	1751
100	195	1737
101	195	1724
102	196	1710
103	197	1698
104	197	1685
105	198	1674
106	199	1661
107	199	1650
108	200	1639
109	201	1627
110	201	1616
111	202	1605
112	203	1593
113	203	1582
114	204	1573
115	205	1563
116	205	1552
117	206	1542
118	207	1532
119	207	1522
120	208	1513
121	208	1504
122	209	1495
123	210	1485
124	211	1477
125	211	1468
126	212	1459
127	213	1451
128	213	1442
129	214	1434
130	214	1425
131	215	1417
132	216	1408
133	216	1402
134	217	1393
135	218	1386
136	219	1379
137	219	1371
138	220	1364
139	220	1357
140	221	1349
141	221	1341
142	222	1334
143	223	1327
144	223	1320
145	224	1314
146	225	1307
147	225	1300
148	226	1293
149	227	1287
150	227	1280
151	228	1274
152	228	1267
153	229	1261
154	230	1255
155	230	1249
156	231	1243
157	232	1237
158	232	1231
159	233	1225
160	233	1219
161	234	1213
162	235	1208
163	236	1203
164	236	1198
165	237	1192
166	238	1187
167	238	1182
168	239	1176
169	239	1171
170	240	1166
171	241	1161
172	241	1156
173	242	1151
174	243	1147
175	244	1142
176	244	1137
177	245	1132
178	245	1128
179	246	1123
180	247	1118
181	247	1114
182	248	1109
183	249	1105
184	249	1100
185	250	1096
186	251	1091
187	251	1087
188	252	1083
189	253	1078
190	253	1074
191	254	1070
192	255	1066
193	255	1061
194	256	1057
195	256	1053
196	257	1049
197	258	1045
198	258	1040
199	259	1036
200	259	1032
201	260	1028
202	261	1025
203	261	1021
204	262	1017
205	263	1013
206	263	1010
207	264	1006
208	264	1002
209	265	999
210	266	995
211	266	992
212	267	988
213	268	985
214	268	981
215	269	978
216	270	974
217	270	970
218	271	967
219	272	964
220	272	961
221	273	958
222	274	955
223	274	952
224	275	948
225	276	945
226	276	942
227	277	939
228	278	936
229	278	933
230	279	930
231	280	927
232	280	924
233	281	921
234	282	918
235	282	915
236	283	912
237	284	909
238	284	906
239	285	903
240	286	900
241	286	897
242	287	895
243	287	892
244	288	889
245	289	886
246	289	883
247	290	880
248	290	877
249	291	874
250	292	872
251	293	870
252	293	867
253	294	864
254	295	862
255	295	859
256	296	856
257	297	854
258	297	851
259	298	849
260	299	847
261	299	844
262	300	841
263	301	839
264	301	836
265	302	833
266	302	831
267	303	828
268	304	826
269	304	823
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	807
277	310	805
278	311	803
279	311	801
280	312	799
281	313	797
282	313	794
283	314	792
284	315	790
285	315	788
286	316	786
287	317	784
288	318	782
289	318	780
290	319	778
291	320	776
292	320	774
293	321	772
294	322	770
295	323	768
296	323	766
297	324	764
298	325	762
299	325	760
300	326	758
301	327	756
302	327	753
303	328	751
304	328	749
305	329	747
306	330	745
307	331	743
308	331	741
309	332	739
310	332	737
311	333	735
312	334	733
313	334	731
314	335	730
315	336	728
316	337	726
317	337	724
318	338	722
319	339	720
320	339	718
321	340	716
322	341	715
323	341	713
324	342	711
325	343	709
326	344	708
327	344	706
328	345	704
329	346	702
330	346	700
331	347	699
332	348	697
333	349	696
334	349	694
335	350	692
336	351	690
337	351	689
338	352	687
339	353	685
340	353	684
341	354	682
342	355	680
343	356	679
344	356	677
345	357	675
346	358	674
347	358	672
348	359	670
349	360	669
350	361	667
351	361	666
352	362	664
353	363	662
354	363	661
355	364	659
356	365	657
357	365	656
358	366	654
359	367	652
360	367	651
361	368	649
362	369	648
363	370	646
364	370	645
365	371	643
366	372	642
367	373	640
368	373	639
369	374	637
370	375	635
371	375	634
372	376	632
373	377	631
374	377	629
375	378	627
376	378	626
377	379	624
378	380	623
379	381	621
380	381	620
381	382	618
382	382	616
383	383	615
384	384	613
385	384	612
386	385	610
387	386	609
388	387	607
389	387	606
390	388	604
391	389	603
392	389	601
393	390	600
394	391	599
395	391	597
396	392	596
397	393	594
398	393	593
399	394	591
400	395	590
401	396	589
402	396	587
403	397	586
404	398	584
405	398	583
406	399	582
407	400	580
408	400	579
409	401	577
410	402	576
411	402	574
412	403	573
413	404	572
414	404	570
415	405	569
416	406	568
417	407	566
418	407	565
419	408	563
420	408	562
421	409	560
422	410	559
423	410	558
424	411	556
425	412	555
426	412	554
427	413	552
428	414	551
429	414	549
430	415	548
431	416	547
432	416	545
433	417	544
434	418	543
435	418	541
436	419	540
437	420	539
438	420	537
439	421	536
440	422	535
441	423	534
442	424	533
443	424	532
444	425	530
445	426	529
446	427	528
447	427	527
448	428	525
449	429	524
450	429	523
451	430	521
452	431	520
453	432	519
454	432	518
455	433	517
456	434	515
457	434	514
458	435	513
459	436	512
460	436	510
461	437	509
462	438	508
463	438	507
464	439	505
465	440	504
466	440	503
467	441	501
468	442	500
469	442	499
470	443	498
471	444	496
472	444	495
473	445	494
474	445	492
475	446	491
476	447	490
477	447	489
478	448	487
479	449	486
480	449	485
481	450	484
482	451	482
483	451	481
484	452	480
485	452	479
486	453	477
487	454	476
488	455	475
489	455	474
490	456	473
491	456	471
492	457	470
493	458	469
494	458	468
495	459	467
496	460	465
497	460	464
498	461	463
499	462	462
500	462	461
501	463	459
502	464	458
503	464	457
504	465	456
505	466	455
506	466	453
507	467	452
508	468	451
509	469	450
510	469	449
511	470	448
512	471	447
513	471	446
514	472	445
515	473	443
516	474	442
517	474	441
518	475	440
519	476	439
520	476	438
521	477	437
522	477	435
523	478	434
524	479	433
525	480	432
526	480	431
527	481	430
528	481	429
529	482	427
530	483	426
531	483	425
532	484	424
533	485	423
534	486	422
535	486	421
536	487	420
537	488	419
538	488	418
539	489	417
540	490	416
541	491	415
542	491	413
543	492	413
544	493	411
545	494	410
546	494	409
547	495	408
548	496	407
549	497	406
550	498	405
551	498	404
552	499	403
553	500	403
554	501	401
555	501	400
556	502	399
557	503	398
558	503	397
559	504	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	508	390
566	509	389
567	510	388
568	511	387
569	511	386
570	512	385
571	513	384
572	514	383
573	514	382
574	515	381
575	516	379
576	516	378
577	517	377
578	518	376
579	518	375
580	519	374
581	520	373
582	521	372
583	522	371
584	522	370
585	523	369
586	524	368
587	525	367
588	525	366
589	527	366
590	527	365
591	528	364
592	529	363
593	529	362
594	530	361
595	531	360
596	532	359
597	532	358
598	533	357
599	534	356
600	534	355
601	535	354
602	536	352
603	536	351
604	537	351
605	538	349
606	538	348
607	539	347
608	540	346
609	540	345
610	541	344
611	542	343
612	543	342
613	543	341
614	544	340
615	545	339
616	545	338
617	546	337
618	547	336
619	547	335
620	548	334
621	549	333
622	550	332
623	550	331
624	551	330
625	552	329
626	552	328
627	553	327
628	554	326
629	554	325
630	555	325
631	556	324
632	557	323
633	558	322
634	558	321
635	559	320
636	560	319
637	560	318
638	561	317
639	562	316
640	562	315
641	563	314
642	564	313
643	565	312
644	565	311
645	566	310
646	566	309
647	567	308
648	568	307
649	569	306
650	569	305
651	570	304
652	571	303
653	571	302
654	572	301
655	573	300
656	574	299
657	574	298
658	575	297
659	576	296
660	577	295
661	577	295
662	578	294
663	579	293
664	580	292
665	580	291
666	581	290
667	582	289
668	582	288
669	583	287
670	584	286
671	584	285
672	585	284
673	586	283
674	586	282
675	587	281
676	588	280
677	589	279
678	589	278
679	590	277
680	590	276
681	591	275
682	592	274
683	593	273
684	593	273
685	594	272
686	595	271
687	595	270
688	596	269
689	597	268
690	597	267
691	598	266
692	599	265
693	599	264
694	600	263
695	601	262
696	601	261
697	602	260
698	602	259
699	603	258
700	604	257
701	604	256
702	605	255
703	606	254
704	607	254
705	607	253
706	608	252
707	609	251
708	609	250
709	610	249
710	611	248
711	612	247
712	612	246
713	613	245
714	614	244
715	615	243
716	615	242
717	616	242
718	617	241
719	617	240
720	618	239
721	619	238
722	620	237
723	620	236
724	621	235
725	622	234
726	623	234
727	624	233
728	624	232
729	625	231
730	626	230
731	626	229
732	627	228
733	628	227
734	628	226
735	629	225
736	630	224
737	631	224
738	631	223
739	632	222
740	633	221
741	633	220
742	634	219
743	635	218
744	636	217
745	637	216
746	637	216
747	638	215
748	639	214
749	640	213
750	640	212
751	641	211
752	642	210
753	643	209
754	643	208
755	644	207
756	645	207
757	645	206
758	646	205
759	647	204
760	647	203
761	648	202
762	649	201
763	649	200
764	650	199
765	651	198
766	652	198
767	652	197
768	653	196
769	654	195
770	654	194
771	655	193
772	656	192
773	656	191
774	657	190
775	658	190
776	659	189
777	659	188
778	660	187
779	661	186
780	662	185
781	662	184
782	663	183
783	664	182
784	664	182
785	665	181
786	666	180
787	666	179
788	667	178
789	668	177
790	668	176
791	669	175
792	670	174
793	670	174
794	671	173
795	672	172
796	673	171
797	673	170
798	674	169
799	675	168
800	675	167
801	676	166
802	677	166
803	677	165
804	678	164
805	679	163
